,FL_NUM,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,ORIGIN,DEST,CRS_ARR_TIME,DEP_DEL15,ARR_DEL15,DEP_DELAY
162,1290,1,9,6,ATL,DTW,3,0.0,0.0,0.0
163,1419,1,9,6,SEA,MSP,1201,0.0,0.0,-3.0
164,1598,1,9,6,SEA,ATL,1401,0.0,0.0,0.0
165,1397,1,8,5,MSP,SEA,1603,0.0,0.0,-2.0
166,1473,1,8,5,SEA,JFK,1930,0.0,1.0,0.0
167,1598,1,8,5,SEA,ATL,1401,0.0,1.0,0.0
168,1734,1,8,5,MSP,DTW,1436,0.0,0.0,-3.0
169,1815,1,8,5,MSP,ATL,1234,0.0,0.0,-4.0
170,1961,1,8,5,MSP,ATL,2308,0.0,0.0,-1.0
171,2039,1,8,5,ATL,SEA,1109,0.0,0.0,0.0
172,2139,1,9,6,JFK,ATL,1052,0.0,0.0,-1.0
173,2263,1,9,6,ATL,DTW,1249,0.0,0.0,-4.0
174,2382,1,9,6,ATL,MSP,2120,1.0,0.0,26.0
175,2448,1,9,6,DTW,ATL,1416,1.0,1.0,54.0
176,2576,1,9,6,JFK,DTW,2059,0.0,0.0,-1.0
177,2834,1,9,6,MSP,SEA,852,0.0,0.0,-2.0
178,2839,1,9,6,DTW,JFK,1724,0.0,0.0,-4.0
179,86,1,10,7,MSP,DTW,1632,0.0,0.0,-1.0
180,87,1,10,7,DTW,MSP,1649,1.0,0.0,24.0
181,423,1,10,7,JFK,ATL,1600,0.0,0.0,11.0
182,440,1,10,7,JFK,ATL,849,0.0,0.0,-1.0
183,485,1,10,7,JFK,SEA,1945,1.0,0.0,65.0
184,557,1,10,7,MSP,DTW,912,0.0,0.0,-5.0
185,589,1,10,7,MSP,SEA,1100,0.0,0.0,0.0
186,744,1,10,7,MSP,ATL,1334,0.0,0.0,0.0
187,789,1,10,7,SEA,MSP,1837,0.0,0.0,0.0
188,8,1,9,6,MSP,ATL,2103,0.0,0.0,2.0
189,87,1,9,6,DTW,MSP,1646,0.0,0.0,-1.0
190,423,1,9,6,JFK,ATL,1600,0.0,0.0,-1.0
191,435,1,9,6,JFK,SEA,1053,1.0,1.0,54.0
192,485,1,9,6,JFK,SEA,1940,1.0,0.0,17.0
193,629,1,9,6,ATL,DTW,1109,0.0,0.0,2.0
194,784,1,9,6,ATL,MSP,1018,0.0,0.0,0.0
195,1145,1,10,7,ATL,DTW,1825,0.0,1.0,0.0
196,1231,1,10,7,ATL,DTW,1542,0.0,0.0,-6.0
197,1397,1,10,7,MSP,SEA,1603,0.0,0.0,-1.0
198,1473,1,10,7,SEA,JFK,1930,0.0,1.0,-1.0
199,1598,1,10,7,SEA,ATL,1401,0.0,0.0,-1.0
200,1734,1,10,7,MSP,DTW,1436,1.0,1.0,50.0
201,1795,1,10,7,ATL,JFK,2014,1.0,1.0,104.0
202,1893,1,10,7,DTW,ATL,1049,1.0,1.0,304.0
